"","LSOA","Density.KM2","Outlets.1000","CHALICE.Density.PWC","CHALICE.Density","KDE","WIMD_Quintile","Morphology","Total","POP_X","POP_Y"
"1","W01000001",0.51864,17.43,0,3.07946,0,2,"Town and Fringe",918,233984,371126
"2","W01000002",0.2765,2.86,0.15851,0.99077,0.02053982205689,3,"Town and Fringe",1048,233248,373373
"3","W01000003",6.74157,8.55,5.94557,4.60236,11.5053234100342,2,"Town and Fringe",2105,244555,392982
"4","W01000004",0.2579,3.8,0,0.49818,0,3,"Village Hamlet & Isolated Dwellings",1053,243216,392865
"5","W01000005",2.1028,10.8,2.19393,4.74549,1.31136178970337,3,"Town and Fringe",1667,260312,376553
"6","W01000006",0.11406,2.95,0,0.39622,0.623011708259583,3,"Village Hamlet & Isolated Dwellings",1354,242222,376629
"7","W01000007",0.10204,2.77,0,0.30676,0,3,"Village Hamlet & Isolated Dwellings",1445,241267,370923
"8","W01000008",1.5873,2.67,1.88103,1.08394,0.138270989060402,5,"Town and Fringe",1122,252844,371889
"9","W01000009",0.0845,1.28,0,0.13493,0,2,"Village Hamlet & Isolated Dwellings",1559,237302,376498
"10","W01000010",1.13852,3.49,0,1.2395,0.203313887119293,4,"Village Hamlet & Isolated Dwellings",1721,251041,382608
"11","W01000011",17.17172,14.94,10.9023,7.0983,13.6535530090332,5,"Town and Fringe",1138,255531,372084
"12","W01000012",1.60428,4.73,1.8332,2.12292,0.105944596230984,5,"Town and Fringe",1268,245595,375632
"13","W01000013",0.21617,2.6,0,0.33806,0,5,"Village Hamlet & Isolated Dwellings",1920,256647,374342
"14","W01000014",1.71103,5,0,1.55236,0.612306416034698,3,"Town and Fringe",1799,245616,376311
"15","W01000015",1.12994,1.31,0.20082,0.69782,0.475267320871353,5,"Town and Fringe",1523,253316,371782
"16","W01000016",96,23.6,16.48124,13.77091,36.4957160949707,1,"Urban > 10K",1017,224531,382408
"17","W01000017",5.88235,5.06,3.13961,2.77249,3.59044218063354,1,"Urban > 10K",1384,224780,381497
"18","W01000018",0.87464,10.2,0.64761,2.34999,0,3,"Town and Fringe",1176,236974,393252
"19","W01000019",1.3198,9.76,0.1042,1.46998,4.08486652374268,4,"Town and Fringe",1332,251714,381770
"20","W01000020",0.10981,5.29,0,0.40187,0,4,"Village Hamlet & Isolated Dwellings",1134,247884,380332
"21","W01000021",0.10656,2.53,0,0.31833,0,3,"Village Hamlet & Isolated Dwellings",1975,244710,389654
"22","W01000022",0.16878,4.29,0,0.20434,0,3,"Village Hamlet & Isolated Dwellings",1397,231374,385813
"23","W01000023",0.27752,4.83,0,1.00062,2.53816890716553,3,"Village Hamlet & Isolated Dwellings",1241,232791,379797
"24","W01000024",0.21802,3.59,0,0.29333,0.925134360790253,3,"Village Hamlet & Isolated Dwellings",835,231734,377199
"25","W01000025",0.14775,2.89,0.57051,0.43856,0,3,"Village Hamlet & Isolated Dwellings",1733,248748,372127
"26","W01000026",0.10799,0.9,0.67359,0.13269,0.077506192028522,3,"Village Hamlet & Isolated Dwellings",1111,261164,379801
"27","W01000027",0.14556,2.61,0,0.19878,0,2,"Village Hamlet & Isolated Dwellings",1535,248862,368486
"28","W01000028",0.04525,1.89,0,0.54063,0,2,"Village Hamlet & Isolated Dwellings",1586,239631,384186
"29","W01000029",12.2449,4.52,1.58578,3.02834,7.18977975845337,1,"Urban > 10K",1326,225226,381843
"30","W01000030",1.47059,1.06,4.87075,4.77429,3.67992281913757,1,"Urban > 10K",1885,224333,382063
"31","W01000031",0.05273,1.57,0,0.44634,0,3,"Village Hamlet & Isolated Dwellings",1274,236116,390729
"32","W01000032",0.35971,5.38,0,0.85695,1.28681254386902,3,"Village Hamlet & Isolated Dwellings",929,250452,386340
"33","W01000033",4.47761,2.37,1.48719,1.25631,7.00189208984375,1,"Urban > 10K",1267,225445,382151
"34","W01000034",1.42857,2.86,0.20544,0.50617,0.507265686988831,3,"Urban > 10K",1050,223356,382667
"35","W01000035",0.09709,1.87,0,0.23652,0.614966690540314,3,"Village Hamlet & Isolated Dwellings",1607,254322,378785
"36","W01000036",29.62963,8.62,10.1466,11.31348,25.622220993042,1,"Urban > 10K",928,224672,382898
"37","W01000037",12.5,3.97,2.52845,5.96703,15.7106676101685,2,"Urban > 10K",1007,224296,382978
"38","W01000038",0.1743,3.64,0.33984,0.3175,0.733910977840424,2,"Village Hamlet & Isolated Dwellings",1925,243744,366135
"39","W01000039",0.4042,5.37,0,0.41276,0,4,"Village Hamlet & Isolated Dwellings",931,226867,377837
"40","W01000040",0.81967,12.15,0.18633,1.12732,0.002376727992669,4,"Village Hamlet & Isolated Dwellings",1070,225134,379751
"41","W01000041",1.4218,2.63,1.6029,2.05099,0.310454130172729,1,"Town and Fringe",1141,246583,375857
"42","W01000042",0.79681,1.11,0.61713,1.36301,0.898238956928253,4,"Town and Fringe",1807,255237,372573
"43","W01000043",2.7027,6.94,1.6201,1.74505,3.17482876777649,2,"Town and Fringe",1009,228944,379310
"44","W01000044",0,0,0,0.42476,0,5,"Town and Fringe",1012,229305,380091
"45","W01000045",0.12579,7.8,0,0.34499,0,3,"Village Hamlet & Isolated Dwellings",769,218781,327817
"46","W01000046",0.28313,15.53,0,1.93913,0,4,"Town and Fringe",966,264204,297509
"47","W01000047",0.12058,2.66,0,0.4531,0,4,"Village Hamlet & Isolated Dwellings",1128,239619,338003
"48","W01000048",0.66622,8.44,1.66061,2.42253,0,3,"Town and Fringe",1185,260953,316672
"49","W01000049",29.29293,35.15,16.92646,11.40493,18.2223052978516,3,"Town and Fringe",825,261352,315836
"50","W01000050",0.12243,8.01,0,0.31334,0.100250542163849,4,"Village Hamlet & Isolated Dwellings",1248,261661,370586
"51","W01000051",6.84411,10.54,14.00506,7.1703,14.0260963439941,4,"Town and Fringe",1708,292592,336055
"52","W01000052",1.04712,2.12,0.22046,0.77268,1.25877523422241,5,"Village Hamlet & Isolated Dwellings",943,252578,365460
"53","W01000053",0.46512,9.82,0.37447,0.24979,1.92617070674896,4,"Village Hamlet & Isolated Dwellings",1018,254078,363095
"54","W01000054",0.39801,4,0.95441,0.78164,0,4,"Village Hamlet & Isolated Dwellings",999,248103,360074
"55","W01000055",0.05731,2.6,0,0.1406,0.000379571458325,3,"Village Hamlet & Isolated Dwellings",1538,224092,333347
"56","W01000056",0.30734,5.27,0.82003,1.49334,0.118139743804932,2,"Town and Fringe",1518,269467,345757
"57","W01000057",0.03063,4.8,0,0.08139,0,4,"Village Hamlet & Isolated Dwellings",1249,274112,320977
"58","W01000058",0.10131,13.46,0,0.73621,0.861019551753998,4,"Village Hamlet & Isolated Dwellings",817,263828,304868
"59","W01000059",1.87793,2.33,0.49497,4.10742,0.948728978633881,2,"Town and Fringe",1717,248845,363110
"60","W01000060",0.05458,8.66,0,0.5537,0,3,"Village Hamlet & Isolated Dwellings",1039,280751,311076
"61","W01000061",5.05952,21.96,17.91135,8.02593,0.005613328889012,5,"Town and Fringe",1548,249886,338201
"62","W01000062",75.4717,20.43,21.92573,15.5337,40.1317901611328,3,"Urban > 10K",1958,258116,371991
"63","W01000063",0.11013,1.3,0.26332,0.33482,0,2,"Town and Fringe",1538,257863,362867
"64","W01000064",4.54545,3.18,0.72092,0.83386,2.9279465675354,3,"Urban > 10K",1571,256693,370758
"65","W01000065",2.29885,6.24,3.94812,4.02997,6.07387685775757,2,"Town and Fringe",962,270370,345701
"66","W01000066",0.04646,3.92,0,0.32415,0,3,"Village Hamlet & Isolated Dwellings",1020,251353,342553
"67","W01000067",0.7664,24.22,10.48876,6.3708,0,3,"Town and Fringe",1032,272683,317918
"68","W01000068",0.83682,1.63,6.61099,5.34327,6.26701307296753,3,"Town and Fringe",1226,272902,317557
"69","W01000069",0.32931,11.03,1.25921,0.89902,0,4,"Village Hamlet & Isolated Dwellings",1360,258777,322903
"70","W01000070",0.0718,3.7,0,0.12969,0,3,"Village Hamlet & Isolated Dwellings",1082,233728,336624
"71","W01000071",1.52091,2.04,0.96108,0.87906,0.685638308525085,2,"Town and Fringe",1958,262696,367171
"72","W01000072",2.04082,1.32,0.30962,0.46233,0.78498363494873,4,"Urban > 10K",1510,256712,371387
"73","W01000073",0.58224,8.33,0.23652,0.36887,0.325942397117615,4,"Village Hamlet & Isolated Dwellings",1441,246890,356043
"74","W01000074",0.32612,11.32,0,1.88998,0.093270547688007,4,"Village Hamlet & Isolated Dwellings",1679,259034,332660
"75","W01000075",2,1.54,2.80135,2.5791,7.53462791442871,2,"Urban > 10K",1295,257237,371361
"76","W01000076",27.77778,8.66,5.25691,6.64959,6.37300252914429,4,"Urban > 10K",1733,258332,372736
"77","W01000077",10.34483,2.6,7.32205,7.74753,15.9033699035645,3,"Urban > 10K",1154,258627,372559
"78","W01000078",0.08316,3.01,0,0.50864,0.213026002049446,2,"Village Hamlet & Isolated Dwellings",1327,236957,345092
"79","W01000079",0.1462,10.99,0,1.21074,0,4,"Village Hamlet & Isolated Dwellings",910,258493,328016
"80","W01000080",2.18398,23.24,0.87104,2.68567,2.60310459136963,3,"Village Hamlet & Isolated Dwellings",1420,231816,330007
"81","W01000081",0.45504,12,8.37396,4.91668,0.166258245706558,3,"Town and Fringe",1750,257950,359993
"82","W01000082",0.02601,3.34,0,0.1484,0,3,"Village Hamlet & Isolated Dwellings",899,296636,339013
"83","W01000083",0.01063,2.86,0,0.152,0,4,"Village Hamlet & Isolated Dwellings",1049,288579,332709
"84","W01000084",0.10791,3.45,0.52711,0.16311,0.065165258944035,3,"Village Hamlet & Isolated Dwellings",870,230265,328962
"85","W01000085",0.19317,9.37,0,1.19564,0.023014655336738,3,"Village Hamlet & Isolated Dwellings",1707,260817,310648
"86","W01000086",0.05081,2.2,0,0.23826,0,2,"Village Hamlet & Isolated Dwellings",1820,246108,351173
"87","W01000087",3.7234,4.69,2.54831,1.62206,4.12562799453735,5,"Town and Fringe",1492,253754,363449
"88","W01000088",0.19072,1.83,0,0.11594,0,4,"Village Hamlet & Isolated Dwellings",1635,249089,357759
"89","W01000089",0.16642,5.97,0,0.54177,0,4,"Village Hamlet & Isolated Dwellings",1676,244611,339559
"90","W01000090",0,0,0.5516,0.47163,6.04895687103271,1,"Urban > 10K",1154,258747,371539
"91","W01000091",4.87805,2.07,0.41884,0.69381,6.96799230575562,1,"Urban > 10K",967,258999,372064
"92","W01000092",13,3.25,13.13966,10.56807,28.7432041168213,5,"Urban > 10K",4003,257580,372143
"93","W01000093",8.3004,11.15,4.05843,8.33142,0.25780177116394,4,"Town and Fringe",1884,248453,363330
"94","W01000094",0.88933,9.43,0.24688,0.74213,1.28399205207825,4,"Village Hamlet & Isolated Dwellings",954,228333,339988
"95","W01000095",1.36986,6.4,5.22458,2.42303,1.01540744304657,4,"Town and Fringe",1093,230734,340528
"96","W01000096",0,0,2.48055,3.14752,7.86000299453735,2,"Town and Fringe",1040,262649,366624
"97","W01000097",14.13043,13.24,4.92803,6.23356,5.21343946456909,3,"Town and Fringe",982,262058,367035
"98","W01000098",1.9802,1.08,1.17811,2.7809,1.29825389385223,1,"Town and Fringe",1844,248801,362558
"99","W01000099",0.36258,3.47,0,0.13923,0,4,"Village Hamlet & Isolated Dwellings",1443,256470,364685
"100","W01000100",0.11484,4.51,0,0.91085,0,4,"Town and Fringe",886,261411,340515
"101","W01000101",1.82371,10.39,0.80087,2.2914,0.879802048206329,4,"Town and Fringe",1155,260550,338710
"102","W01000102",0,0,0,0.0448,0,5,"Urban > 10K",1055,255584,370178
"103","W01000103",0.37618,5.14,0,0.16118,0,4,"Village Hamlet & Isolated Dwellings",1167,256584,369252
"104","W01000104",0.54795,2.73,3.26267,1.76842,1.41371774673462,3,"Town and Fringe",1466,247052,353157
"105","W01000105",3.31126,10.65,9.14262,8.09809,0,3,"Town and Fringe",1409,256720,339061
"106","W01000106",2.42215,14.32,0.10539,4.2204,0.782045066356659,4,"Village Hamlet & Isolated Dwellings",1466,255966,337889
"107","W01000107",0.28214,27.29,0,3.46857,0,3,"Village Hamlet & Isolated Dwellings",1026,258024,343797
"108","W01000108",8.39895,17.48,20.38692,11.07745,15.1983728408813,3,"Town and Fringe",1831,237430,335211
"109","W01000109",5.19481,5.05,2.50382,2.18878,11.2017755508423,3,"Village Hamlet & Isolated Dwellings",1583,237386,334324
